artistName,segment,user_id
Aloe Blacc,Previously Active Listeners,user_002
Hot Chelle Rae,Previously Active Listeners,user_002
SativaMusic,Previously Active Listeners,user_002
Rudimental,Previously Active Listeners,user_002
Edward Maya,Light listeners,user_002
Starley,Light listeners,user_002
Nelly Furtado,Previously Active Listeners,user_002
JID,Light listeners,user_002
B.o.B,Previously Active Listeners,user_002
Grey,Previously Active Listeners,user_002
Ruff Loaderz,Previously Active Listeners,user_002
Big Sean,Previously Active Listeners,user_002
Olly Murs,Previously Active Listeners,user_002
Ellusive,Previously Active Listeners,user_002
James Arthur,Moderate listeners,user_002
Ziv Zaifman,Previously Active Listeners,user_002
Mackenzie Carpenter,Previously Active Listeners,user_002
John Legend,Moderate listeners,user_002
Trippie Redd,Previously Active Listeners,user_002
DJ Khaled,Previously Active Listeners,user_002
Matthew Mole,Previously Active Listeners,user_002
Shawn Mendes,Previously Active Listeners,user_002
Kodak Black,Previously Active Listeners,user_002
Seeb,Previously Active Listeners,user_002
Jason Derulo,Previously Active Listeners,user_002
Carlos Vives,Previously Active Listeners,user_002
Cast Of 'Camp Rock 2',Previously Active Listeners,user_002
WALK THE MOON,Previously Active Listeners,user_002
Mindless Behavior,Previously Active Listeners,user_002
Rihanna,Moderate listeners,user_002
Rauw Alejandro,Previously Active Listeners,user_002
Kacey Musgraves,Previously Active Listeners,user_002
H.E.R.,Previously Active Listeners,user_002
SZA,Super Listeners,user_002
Saweetie,Previously Active Listeners,user_002
Drax Project,Previously Active Listeners,user_002
Bon Iver,Previously Active Listeners,user_002
French Montana,Previously Active Listeners,user_002
ILLENIUM,Previously Active Listeners,user_002
Dean Lewis,Previously Active Listeners,user_002
Sorana,Light listeners,user_002
Hozier,Moderate listeners,user_002
Coldplay,Previously Active Listeners,user_002
Ed Sheeran,Previously Active Listeners,user_002
Keri Hilson,Previously Active Listeners,user_002
R. City,Previously Active Listeners,user_002
Blake Shelton,Light listeners,user_002
Jack Harlow,Previously Active Listeners,user_002
Sped Up Songs + Nightcore,Previously Active Listeners,user_002
Eslabon Armado,Previously Active Listeners,user_002
Brad Paisley,Previously Active Listeners,user_002
Post Malone,Super Listeners,user_002
GAYLE,Previously Active Listeners,user_002
Route 94,Light listeners,user_002
Tom Odell,Light listeners,user_002
cassö,Previously Active Listeners,user_002
Tape B,Previously Active Listeners,user_002
MERYLL,Previously Active Listeners,user_002
Summer Walker,Previously Active Listeners,user_002
JVKE,Light listeners,user_002
JP Cooper,Super Listeners,user_002
21 Savage,Light listeners,user_002
Bad Meets Evil,Previously Active Listeners,user_002
Ren Ran,Previously Active Listeners,user_002
Carrie Underwood,Light listeners,user_002
Myles Smith,Moderate listeners,user_002
Niall Horan,Previously Active Listeners,user_002
James Hype,Previously Active Listeners,user_002
Zendaya,Previously Active Listeners,user_002
Caroline Manning,Previously Active Listeners,user_002
blackbear,Light listeners,user_002
FRENSHIP,Moderate listeners,user_002
JP Saxe,Light listeners,user_002
Birdy,Light listeners,user_002
Pentatonix,Previously Active Listeners,user_002
Zerky,Previously Active Listeners,user_002
De La Ghetto,Previously Active Listeners,user_002
Kesha,Previously Active Listeners,user_002
James TW,Previously Active Listeners,user_002
Darell,Previously Active Listeners,user_002
Emily Warren,Moderate listeners,user_002
Lil Baby,Previously Active Listeners,user_002
Dzeko,Previously Active Listeners,user_002
Kaliii,Previously Active Listeners,user_002
PinkPantheress,Previously Active Listeners,user_002
Candy Claus,Previously Active Listeners,user_002
Bellini,Previously Active Listeners,user_002
Roddy Ricch,Previously Active Listeners,user_002
Sigala,Moderate listeners,user_002
Lee Brice,Previously Active Listeners,user_002
Dan Caplen,Previously Active Listeners,user_002
Katy Perry,Previously Active Listeners,user_002
Cherub,Previously Active Listeners,user_002
Taylor Swift,Moderate listeners,user_002
Cheat Codes,Previously Active Listeners,user_002
Logic,Previously Active Listeners,user_002
Michael Jackson,Previously Active Listeners,user_002
Captain Cuts,Previously Active Listeners,user_002
Rosa Linn,Previously Active Listeners,user_002
Lewis Capaldi,Moderate listeners,user_002
BIA,Previously Active Listeners,user_002
Omar Courtz,Light listeners,user_002
Adam Levine,Previously Active Listeners,user_002
Nelly,Previously Active Listeners,user_002
fun.,Previously Active Listeners,user_002
Ella Henderson,Previously Active Listeners,user_002
Galantis,Previously Active Listeners,user_002
Teddy Swims,Moderate listeners,user_002
